,Bihar_s(t),Bihar_e(t),Bihar_i(t),Bihar_r(t),UttarPradesh_s(t),UttarPradesh_e(t),UttarPradesh_i(t),UttarPradesh_r(t),Haryana_s(t),Haryana_e(t),Haryana_i(t),Haryana_r(t),MadhyaPradesh_s(t),MadhyaPradesh_e(t),MadhyaPradesh_i(t),MadhyaPradesh_r(t)
27,0.9999979434648946,6.76701867258315e-07,4.0689819424254983e-07,1.0939027857157124e-06,0.999996098966309,1.1642921116027464e-06,7.33150620396202e-07,2.29473019964399e-06,0.9999844028827468,4.386725448257928e-06,2.8238455844150543e-06,9.627925530618282e-06,0.9999955872661777,1.2344579998276168e-06,8.084175624993518e-07,2.8286817896309786e-06
28,0.9999977440022378,7.350046096541097e-07,4.41960721579236e-07,1.2000001728184383e-06,0.9999957764904259,1.2457793167740788e-06,7.84446830837505e-07,2.484422667209599e-06,0.9999832234472569,4.661440080407044e-06,3.00050804629372e-06,1.0355983926616269e-05,0.9999952630168075,1.304792358630065e-06,8.544794617208394e-07,3.036534901757646e-06
29,0.9999975275268278,7.982774195897389e-07,4.800165548160316e-07,1.3151469395842518e-06,0.9999954316256069,1.3329329419665522e-06,8.392954750545916e-07,2.6872852169464164e-06,0.9999819706515026,4.953345549967142e-06,3.188054165196547e-06,1.1129328092360495e-05,0.999994920416614,1.3791063408981082e-06,9.031490867213392e-07,3.256151487990995e-06
30,0.9999972922096632,8.670650418229613e-07,5.213770678561281e-07,1.4403159689569574e-06,0.9999950624475774,1.4262061780562057e-06,8.98035688238674e-07,2.9044497971293557e-06,0.9999806390578917,5.263324986691153e-06,3.387681591992742e-06,1.195131483978417e-05,0.9999945581613482,1.4576860719621104e-06,9.546084847565821e-07,3.4883676246667765e-06
31,0.9999970366958223,9.417581340251788e-07,5.662858133753297e-07,1.576227972087154e-06,0.9999946675212087,1.5259799498512102e-06,9.608774629847609e-07,3.136760619295407e-06,0.9999792243898298,5.592590336796458e-06,3.5998148814465874e-06,1.2824584262097285e-05,0.9999941753193964,1.5407317811623158e-06,1.0089918368076421e-06,3.7337805151987104e-06
32,0.9999967590462109,1.022920284956981e-06,6.150868510736267e-07,1.7239143948799186e-06,0.9999942448343294,1.6327725820428261e-06,1.0281309886351033e-06,3.385401340734946e-06,0.9999777207875913,5.942617853342792e-06,3.825220065889477e-06,1.3752753799631169e-05,0.9999937705893744,1.6285248244429313e-06,1.0664849282594937e-06,3.993224402461429e-06
33,0.99999645765819,1.1110196729891482e-06,6.680621602975482e-07,1.8842277185571563e-06,0.9999937928061977,1.7469839496986295e-06,1.1000472571625611e-06,3.6513018362643907e-06,0.9999761237896199,6.31444980016242e-06,4.064562083785359e-06,1.4738577806292624e-05,0.9999933429833713,1.7212794665403261e-06,1.1272281087274877e-06,4.267332583056366e-06
34,0.9999961302010474,1.206736572271859e-06,7.256224209177172e-07,2.0584077012499615e-06,0.999993309082983,1.8692113144948777e-06,1.1769981955270834e-06,3.935846747739285e-06,0.9999744266693548,6.7096779487135045e-06,4.318823107786775e-06,1.5786208898796828e-05,0.9999928910027625,1.8193205739650326e-06,1.191434451321186e-06,4.557065741893693e-06
35,0.9999957744998598,1.3107056567703388e-06,7.881509922644815e-07,2.2476112330442124e-06,0.9999927914562463,2.0000154328706232e-06,1.2593323719408602e-06,4.240335189610692e-06,0.9999726230981069,7.12980418971866e-06,4.588922953398204e-06,1.6899554060092418e-05,0.999992413235642,1.9229541802371403e-06,1.2593047345363368e-06,4.863328972764504e-06
36,0.9999953883428434,1.423572417100976e-06,8.56037669956555e-07,2.4530148113577347e-06,0.9999922376913368,2.1399635385769903e-06,1.3474026691728312e-06,4.5660816962150785e-06,0.9999707066870511,7.576342737071798e-06,4.8757921158827975e-06,1.8082557406055863e-05,0.9999919082586842,2.032488809543009e-06,1.331041345050129e-06,5.1870346908072215e-06
37,0.999994968595992,1.5462529702337068e-06,9.298332818235211e-07,2.676285497708787e-06,0.9999916448978007,2.289784923965347e-06,1.4416699177053817e-06,4.914786598499822e-06,0.999968669542798,8.051116123282481e-06,5.180628291886481e-06,1.9340092096932553e-05,0.9999913743628361,2.14829530109793e-06,1.4068869053089143e-06,5.529278487034304e-06
38,0.9999945122471449,1.6796276775666285e-06,1.0100673798705345e-06,2.919025539528957e-06,0.9999910102718297,2.450187469954483e-06,1.5425806858022613e-06,5.288099255368166e-06,0.9999665039707436,8.555906145328538e-06,5.504593874995775e-06,2.0676908546190873e-05,0.9999908098767959,2.270736260959323e-06,1.4870787217470739e-06,5.891131750978803e-06
39,0.9999940165659125,1.8244942146099315e-06,1.097220315087538e-06,3.1826872996296235e-06,0.9999903312099868,2.621829542849852e-06,1.6505485598966741e-06,5.687551151263212e-06,0.9999642027359813,9.092400397985545e-06,5.8487696193585565e-06,2.209747331150488e-05,0.999990213216561,2.40015525574728e-06,1.5718418073535986e-06,6.273609905489114e-06
40,0.9999934787970964,1.9816575374654607e-06,1.1917767700638957e-06,3.46873633783076e-06,0.9999896050902134,2.805374125544478e-06,1.7659901765799665e-06,6.114684725231493e-06,0.9999617585584059,9.66229604002366e-06,6.214244004917745e-06,2.360628085931581e-05,0.9999895827890563,2.5368978273194484e-06,1.6614024562516189e-06,6.67773418972841e-06
41,0.9999928945476697,2.152403244923901e-06,1.2945073865103602e-06,3.779509440632327e-06,0.9999888280611259,3.001788974110248e-06,1.8895235346789442e-06,6.5717656061780365e-06,0.9999591611740399,1.0267921616272005e-05,6.602615545289033e-06,2.520966810864812e-05,0.9999889164022553,2.6814399167558395e-06,1.7560715391738817e-06,7.104909818408325e-06
42,0.9999922593075726,2.3380512806052707e-06,1.4062032396477485e-06,4.1174056489538945e-06,0.9999879961834974,3.212063622507397e-06,2.021781021570934e-06,7.061111099300551e-06,0.9999564001056902,1.0911650787915247e-05,7.0155191990811516e-06,2.691410363291526e-05,0.9999882118213327,2.8342667829501763e-06,1.8561659703638122e-06,7.55656944361754e-06
43,0.9999915692624368,2.5397174281426633e-06,1.527533939392529e-06,4.484453937485539e-06,0.9999871060402755,3.4370581478467056e-06,2.163309493089118e-06,7.5847313243646546e-06,0.9999534661436068,1.1595589025707748e-05,7.454373280667134e-06,2.8725273396944247e-05,0.9999874670658766,2.995808295826059e-06,1.9619667389172904e-06,8.033982618234509e-06
44,0.9999907609408059,2.7759811704455222e-06,1.6696287720457921e-06,4.914416993369551e-06,0.999986104003731,3.690243271375184e-06,2.3227184182477723e-06,8.174173820115113e-06,0.9999502186844882,1.235164156231353e-05,7.941065596847784e-06,3.07299876626815e-05,0.999986652473675,3.1725042866894816e-06,2.077680905056349e-06,8.556164662764053e-06
45,0.9999899819504177,3.0036328553940204e-06,1.8066074147199875e-06,5.328777053965745e-06,0.9999851143729455,3.940400121069669e-06,2.4800489608166606e-06,8.756317213452243e-06,0.9999469830831058,1.3106013464152065e-05,8.424915012367932e-06,3.272736772771871e-05,0.9999858366024765,3.349470297095265e-06,2.1935849846342805e-06,9.079165771302801e-06
46,0.9999891155175151,3.256856851373988e-06,1.9589431521682485e-06,5.7896502230900525e-06,0.9999840390268266,4.212170798554353e-06,2.6510584242685216e-06,9.388883191369689e-06,0.9999435027818744,1.3916878299816446e-05,8.945902933578524e-06,3.487581620228681e-05,0.9999849654325712,3.5384345538189565e-06,2.317340431488749e-06,9.637615973078617e-06
47,0.9999881616420982,3.535653158385425e-06,2.1266359843905756e-06,6.297036500742474e-06,0.9999828779653744,4.505555303829236e-06,2.835746808603355e-06,1.0071871753867453e-05,0.9999397777807939,1.4784236069306675e-05,9.504029360479558e-06,3.717533308638581e-05,0.999984038963959,3.739397056860557e-06,2.4489472456197534e-06,1.0231515268091501e-05
48,0.999987120324167,3.840021776428331e-06,2.309685911386968e-06,6.850935886923011e-06,0.9999816311885891,4.8205536368943186e-06,3.0341141138211605e-06,1.0805282900945534e-05,0.9999358080798644,1.5708086772622754e-05,1.0099294293071037e-05,3.962591838001569e-05,0.99998305719664,3.952357806220067e-06,2.5884054270272947e-06,1.086086365634145e-05
49,0.9999859868631757,4.171360708520991e-06,2.5088950311335014e-06,7.453848826468206e-06,0.9999802951942264,5.158021466385394e-06,3.2467465869072477e-06,1.159117696116184e-05,0.999931585030587,1.6690284427389096e-05,1.0733151940607953e-05,4.223291235504274e-05,0.9999820183681539,4.17769942127033e-06,2.7359649393827985e-06,1.1526791015042765e-05
50,0.9999847554195127,4.531406637877675e-06,2.7252599036191166e-06,8.108881687627016e-06,0.9999788656309735,5.519022050352176e-06,3.4743724570464577e-06,1.2432113759936001e-05,0.9999270978869849,1.7733133759137038e-05,1.1407408132874159e-05,4.500295043325629e-05,0.9999809202887062,4.415897287689327e-06,2.8919363590155232e-06,1.2230701176553605e-05
51,0.9999834171748012,4.922702295738437e-06,2.9603652551676146e-06,8.82072538972254e-06,0.999977335598025,5.905366511421862e-06,3.7180217578413606e-06,1.3332152946477908e-05,0.9999223289391329,1.884134821380374e-05,1.2124124048894847e-05,4.794696791452171e-05,0.9999797594414422,4.6677102975626465e-06,3.0568230731264123e-06,1.2974848716557935e-05
52,0.9999819739851614,5.3446983079106745e-06,3.2138917508835754e-06,9.588392521620734e-06,0.9999757062695475,6.316784310762035e-06,3.977481658084603e-06,1.429060372449254e-05,0.9999172807226997,2.001462661422067e-05,1.2882631332212135e-05,5.1063398663900186e-05,0.9999785363450923,4.933023697754532e-06,3.2305536709156603e-06,1.3758901068511778e-05
